Name,Total average income,Salary,Agriculture forestry aquaculture,Non agriculture forestry aquaculture,Others income,year
Ninh Thuan,2855,1392,288,965,209,2021
Binh Thuan,4076,2065,747,930,334,2021
Kon Tum,2517,1219,707,447,143,2021
Gia Lai,2329,889,854,498,88,2021
Dak Lak,2810,1235,878,466,231,2021
Dak Nong,2745,872,1259,443,170,2021
Lam Dong,3718,1532,1124,826,236,2021
Binh Phuoc,4002,1950,1204,614,233,2021
Tay Ninh,4036,2356,473,951,255,2021
Binh Duong,7123,4742,196,1847,336,2021
Dong Nai,5751,3672,365,1337,376,2021
Ba Ria - Vung Tau,4419,2733,309,1124,252,2021
TP. Ho Chi Minh,6007,4091,35,1359,521,2021
Long An,3724,2121,483,815,305,2021
Tien Giang,3932,1901,778,933,319,2021
Ben Tre,3367,1475,754,747,390,2021
Tra Vinh,3290,1283,886,609,510,2021
Vinh Long,3172,1474,667,550,480,2021
Dong Thap,4198,1914,1019,745,520,2021
An Giang,3406,1438,505,1033,429,2021
Kien Giang,3986,1319,1087,1140,439,2021
Can Tho,4794,2473,449,1301,569,2021
Hau Giang,3761,1429,790,963,578,2021
Soc Trang,3246,1314,805,642,484,2021
Bac Lieu,3642,1437,1095,743,367,2021
Ca Mau,3239,1096,998,853,292,2021
Ca nuoc,4673,2577,474,1118,504,2022
Thanh thi,5945,3612,156,1557,620,2022
Nong thon,3864,1919,676,839,429,2022
Dong bang song Hong,5586,3347,284,1353,603,2022
Trung du va mien nui phia Bac,3170,1717,506,634,312,2022
Bac Trung Bo va Duyen hai mien Trung,3967,2064,416,994,493,2022
Tay Nguyen,3282,1249,1127,703,203,2022
Dong Nam Bo,6334,3948,280,1525,581,2022
Dong bang song Cuu Long,4077,1767,755,1009,545,2022
Ha Noi,6423,4182,207,1356,678,2022
Vinh Phuc,5194,2871,442,1511,369,2022
Bac Ninh,5470,3214,191,1676,389,2022
Quang Ninh,4811,2772,282,1371,386,2022
Hai Duong,4936,2789,379,1238,531,2022
Hai Phong,5897,3557,247,1375,718,2022
Hung Yen,4747,2552,448,1268,478,2022
Thai Binh,4749,3035,254,739,722,2022
Ha Nam,4745,2382,274,1506,583,2022
Nam Dinh,5100,2370,380,1653,698,2022
Ninh Binh,4893,2584,438,1267,603,2022
Ha Giang,2062,941,508,452,161,2022
Cao Bang,2355,1253,513,320,269,2022
Bac Kan,2342,1326,495,319,202,2022
Tuyen Quang,3142,1650,519,727,246,2022
Lao Cai,2881,1435,586,627,233,2022
Yen Bai,2846,1335,686,493,331,2022
Thai Nguyen,4587,2534,573,1120,359,2022
Lang Son,2701,1315,610,495,281,2022
Bac Giang,4297,2438,472,881,507,2022
Phu Tho,3911,2457,296,694,464,2022
Dien Bien,2080,1040,544,261,235,2022
Lai Chau,2212,1272,520,277,143,2022
Son La,2141,916,636,392,197,2022
Hoa Binh,3143,1852,269,782,239,2022
Thanh Hoa,4309,2280,493,1046,491,2022
Nghe An,3629,1758,421,861,589,2022
Ha Tinh,3486,1406,518,725,837,2022
Quang Binh,3625,1930,409,714,573,2022
Quang Tri,3382,1891,467,714,310,2022
Thua Thien - Hue,4281,1704,241,1602,734,2022
Da Nang,5807,3417,50,1598,742,2022
Quang Nam,3825,2072,381,1042,330,2022
Quang Ngai,3717,2064,372,896,386,2022
Binh Dinh,3897,1891,497,1176,333,2022
Phu Yen,3475,1872,492,840,271,2022
Khanh Hoa,3729,2508,280,626,315,2022
Ninh Thuan,3040,1499,354,948,239,2022
Binh Thuan,4307,2258,665,949,435,2022
Kon Tum,2927,1345,814,599,170,2022
Gia Lai,2567,997,861,600,109,2022
Dak Lak,3238,1382,1016,578,263,2022
Dak Nong,3183,867,1549,626,140,2022
Lam Dong,4428,1527,1532,1089,280,2022
Binh Phuoc,4592,2060,1118,1183,231,2022
Tay Ninh,4617,2283,575,1340,418,2022
Binh Duong,8076,4828,256,2591,402,2022
Dong Nai,6346,3645,555,1591,554,2022
Ba Ria - Vung Tau,4815,3069,201,1137,408,2022
TP. Ho Chi Minh,6392,4317,69,1275,731,2022
Long An,3865,2199,420,827,418,2022
Tien Giang,4118,1949,738,967,465,2022
Ben Tre,3840,1675,872,768,525,2022
Tra Vinh,3711,1273,714,1360,365,2022
Vinh Long,3502,1642,473,873,513,2022
Dong Thap,4547,2073,1020,779,675,2022
An Giang,3646,1556,499,1079,511,2022
Kien Giang,4287,1587,949,1233,518,2022
Can Tho,5324,2538,490,1328,968,2022
Hau Giang,4185,1652,876,1042,616,2022
Soc Trang,3651,1437,702,907,605,2022
Bac Lieu,4305,1384,1290,1055,576,2022
Ca Mau,3768,1419,1115,918,316,2022
Ca nuoc,4962,2740,501,1208,508,2023
Thanh thi,6260,3840,178,1650,630,2023
Nong thon,4169,2068,699,939,459,2023
Dong bang song Hong,5980,3506,280,1548,642,2023
Trung du va mien nui phia Bac,3438,1818,574,714,329,2023
Bac Trung Bo va Duyen hai mien Trung,4263,2236,466,1041,517,2023
Tay Nguyen,3565,1484,1121,761,197,2023
Dong Nam Bo,6520,4154,248,1587,527,2023
Dong bang song Cuu Long,4371,1918,841,1070,538,2023
Ha Noi,6868,4316,141,1704,711,2023
Vinh Phuc,5462,2807,392,1895,367,2023
Bac Ninh,5278,2936,301,1690,351,2023
Quang Ninh,5294,3357,422,1151,363,2023
Hai Duong,5335,2975,473,1334,552,2023
Hai Phong,6391,3970,224,1502,694,2023
Hung Yen,5289,2585,486,1729,487,2023
Thai Binh,5266,2954,271,1160,879,2023
Ha Nam,5072,2792,318,1457,504,2023
Nam Dinh,5502,2835,369,1459,838,2023
Ninh Binh,5333,2665,434,1436,797,2023
Ha Giang,2251,1078,521,397,254,2023
Cao Bang,2438,1324,502,315,296,2023
Bac Kan,2518,1482,485,339,211,2023
Tuyen Quang,3397,1748,717,683,248,2023
Lao Cai,3200,1449,712,796,242,2023
Yen Bai,3155,1366,623,843,322,2023
Thai Nguyen,4908,2524,606,1404,373,2023
Lang Son,2884,1411,636,553,282,2023
Bac Giang,4636,2613,565,980,476,2023
Phu Tho,4330,2730,282,815,501,2023
Dien Bien,2182,1133,580,248,220,2023
Lai Chau,2323,1335,550,278,159,2023
Son La,2392,943,854,360,234,2023
Hoa Binh,3300,1865,426,713,294,2023
Thanh Hoa,4653,2334,502,1277,540,2023
Nghe An,4050,2041,448,971,589,2023
Ha Tinh,3811,1636,533,705,935,2023
Quang Binh,3870,2178,417,644,630,2023
Quang Tri,3582,1876,603,820,282,2023
Thua Thien - Hue,4703,2218,277,1401,806,2023
Da Nang,6223,3854,94,1530,744,2023
Quang Nam,3817,2251,420,817,327,2023
Quang Ngai,3922,1976,577,971,397,2023
Binh Dinh,4364,2026,586,1289,461,2023
Phu Yen,3657,2106,426,902,221,2023
Khanh Hoa,4024,2619,411,729,264,2023
Ninh Thuan,3326,1537,526,1038,223,2023
Binh Thuan,4570,2441,723,1012,394,2023
Kon Tum,3210,1373,1058,620,157,2023
Gia Lai,2805,1354,849,498,102,2023
Dak Lak,3430,1553,989,673,214,2023
Dak Nong,3388,1005,1597,609,176,2023
Lam Dong,4857,1797,1406,1342,310,2023
Binh Phuoc,4800,2416,992,1092,300,2023
Tay Ninh,4876,2768,519,1178,409,2023
Binh Duong,8298,5250,275,2335,437,2023
Dong Nai,6579,4022,462,1530,564,2023
Ba Ria - Vung Tau,5238,3510,251,1080,396,2023
TP. Ho Chi Minh,6516,4313,51,1553,597,2023
Long An,4235,2447,563,836,387,2023
Tien Giang,4600,2084,923,1130,451,2023
Ben Tre,4008,1857,866,823,461,2023
Tra Vinh,3858,1644,795,930,487,2023
Vinh Long,3757,1728,592,865,571,2023
Dong Thap,4906,2138,1020,1000,747,2023
An Giang,3896,1666,475,1261,493,2023
Kien Giang,4723,1858,1114,1225,525,2023
Can Tho,5579,2676,471,1643,788,2023
Hau Giang,4234,1555,1042,1036,601,2023
Soc Trang,3912,1637,839,833,602,2023
Bac Lieu,4755,1632,1364,1169,589,2023
Ca Mau,4096,1494,1151,1047,403,2023
